id,created_at,updated_at,language,name,is_main,is_alcoholic
1,2025-07-09 18:29:23.396+00,2025-07-09 18:29:23.396+00,ENG,Rum,False,True
2,2025-07-09 18:29:23.436+00,2025-07-09 18:29:23.436+00,ENG,Lemonade,False,False
3,2025-07-09 18:29:23.449+00,2025-07-09 18:29:23.449+00,ENG,Liqueur,False,True
4,2025-07-09 18:29:23.46+00,2025-07-09 18:29:23.46+00,ENG,Absinthe,False,True
5,2025-07-09 18:29:23.483+00,2025-07-09 18:29:23.483+00,ENG,Other not alcohol,False,False
6,2025-07-09 18:29:23.493+00,2025-07-09 18:29:23.493+00,ENG,Beer,False,True
7,2025-07-09 18:29:23.51+00,2025-07-09 18:29:23.51+00,ENG,Syrup,False,False
8,2025-07-09 18:29:23.52+00,2025-07-09 18:29:23.52+00,ENG,Coffee,False,False
9,2025-07-09 18:29:23.536+00,2025-07-09 18:29:23.536+00,ENG,Other alcohol,False,False
10,2025-07-09 18:29:23.565+00,2025-07-09 18:29:23.565+00,ENG,Fruits,False,False
11,2025-07-09 18:29:23.575+00,2025-07-09 18:29:23.575+00,ENG,Brandy,False,True
12,2025-07-09 18:29:23.586+00,2025-07-09 18:29:23.586+00,ENG,Wine,False,True
13,2025-07-09 18:29:23.596+00,2025-07-09 18:29:23.596+00,ENG,Juice,False,False
14,2025-07-09 18:29:23.618+00,2025-07-09 18:29:23.618+00,ENG,Vodka,False,True
15,2025-07-09 18:29:23.659+00,2025-07-09 18:29:23.659+00,ENG,Vegetables,False,False
16,2025-07-09 18:29:23.675+00,2025-07-09 18:29:23.675+00,ENG,Liquors,False,False
17,2025-07-09 18:29:23.717+00,2025-07-09 18:29:23.717+00,RUS,Лимонад,False,False
18,2025-07-09 18:29:23.782+00,2025-07-09 18:29:23.782+00,ENG,Whiskey,False,True
19,2025-07-09 18:29:23.818+00,2025-07-09 18:29:23.818+00,ENG,Water,False,False
20,2025-07-09 18:29:23.828+00,2025-07-09 18:29:23.828+00,ENG,Gin,False,True
21,2025-07-09 18:29:23.846+00,2025-07-09 18:29:23.846+00,ENG,Other products,False,False
22,2025-07-09 18:29:23.909+00,2025-07-09 18:29:23.909+00,ENG,Spices,False,False
23,2025-07-09 18:29:23.981+00,2025-07-09 18:29:23.981+00,RUS,Ликер,False,True
24,2025-07-09 18:29:24.04+00,2025-07-09 18:29:24.041+00,ENG,Tea,False,False
25,2025-07-09 18:29:24.241+00,2025-07-09 18:29:24.241+00,ENG,Cognac,False,True
26,2025-07-09 18:29:24.28+00,2025-07-09 18:29:24.28+00,RUS,Иное,False,False
27,2025-07-09 18:29:24.289+00,2025-07-09 18:29:24.289+00,ENG,Berries,False,False
28,2025-07-09 18:29:24.918+00,2025-07-09 18:29:24.918+00,RUS,Иные продукты,False,False
29,2025-07-09 18:29:25.037+00,2025-07-09 18:29:25.037+00,ENG,Tequila,False,True
30,2025-07-09 18:29:26.05+00,2025-07-09 18:29:26.05+00,ENG,Pear,False,False
31,2025-07-09 18:29:26.312+00,2025-07-09 18:29:26.312+00,RUS,Фрукты,False,False
32,2025-07-09 18:29:26.437+00,2025-07-09 18:29:26.437+00,ENG,Sambuca,False,False
33,2025-07-09 18:29:26.447+00,2025-07-09 18:29:26.447+00,RUS,Иные б/а напитки,False,False
34,2025-07-09 18:29:27.024+00,2025-07-09 18:29:27.024+00,RUS,Сок,False,False
35,2025-07-09 18:29:27.04+00,2025-07-09 18:29:27.04+00,RUS,Абсент,False,True
36,2025-07-09 18:29:27.068+00,2025-07-09 18:29:27.068+00,RUS,Виски,False,True
37,2025-07-09 18:29:27.126+00,2025-07-09 18:29:27.126+00,RUS,Иной алкоголь,False,False
38,2025-07-09 18:29:27.16+00,2025-07-09 18:29:27.16+00,RUS,Текила,False,True
39,2025-07-09 18:29:27.279+00,2025-07-09 18:29:27.279+00,RUS,Специи,False,False
40,2025-07-09 18:29:27.288+00,2025-07-09 18:29:27.288+00,RUS,Вино,False,True
41,2025-07-09 18:29:27.31+00,2025-07-09 18:29:27.31+00,RUS,Ягоды,False,False
42,2025-07-09 18:29:27.331+00,2025-07-09 18:29:27.331+00,RUS,Водка,False,True
43,2025-07-09 18:29:27.375+00,2025-07-09 18:29:27.375+00,RUS,Вода,False,False
44,2025-07-09 18:29:27.421+00,2025-07-09 18:29:27.421+00,RUS,Сироп,False,False
45,2025-07-09 18:29:27.45+00,2025-07-09 18:29:27.45+00,RUS,Джин,False,True
46,2025-07-09 18:29:27.652+00,2025-07-09 18:29:27.652+00,RUS,Коньяк,False,True
47,2025-07-09 18:29:28.204+00,2025-07-09 18:29:28.204+00,RUS,Кофе,False,False
48,2025-07-09 18:29:28.22+00,2025-07-09 18:29:28.22+00,RUS,Овощи,False,False
49,2025-07-09 18:29:28.445+00,2025-07-09 18:29:28.445+00,RUS,Ром,False,False
50,2025-07-09 18:29:29.255+00,2025-07-09 18:29:29.255+00,ENG,Vine,True,False
53,2025-07-09 18:29:29.275+00,2025-07-09 18:29:29.275+00,RUS,Пиво,True,True
54,2025-07-09 18:29:29.429+00,2025-07-09 18:29:29.429+00,RUS,Бренди,True,True
55,2025-07-09 18:29:29.445+00,2025-07-09 18:29:29.445+00,RUS,Арманьяк,False,False
56,2025-07-09 18:29:29.451+00,2025-07-09 18:29:29.451+00,ENG,Armagnac,False,False
57,2025-07-09 18:29:29.457+00,2025-07-09 18:29:29.457+00,RUS,Самбука,True,False
58,2025-07-09 18:29:29.496+00,2025-07-09 18:29:29.496+00,RUS,Настойки,True,False
